JournalId,PaperId,Rank,Doi,DocType,Genre,IsParatext,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,OaStatus,BestUrl,BestFreeUrl,BestFreeVersion,DoiLower,CreatedDate,UpdatedDate
162791694,3044062939,23309,10.1093/MSPECIES/SEAA004,Journal,journal-article,f,dasypus sabanicola cingulata dasypodidae,Dasypus sabanicola (Cingulata: Dasypodidae),NA,2020,2020-07-22,2020-07-22,Oxford Academic,NA,NA,52,991,49,56,38,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/seaa004,https://academic.oup.com/mspecies/article-pdf/52/991/49/33521360/seaa004.pdf,publishedVersion,10.1093/mspecies/seaa004,NA,2021-11-03 23:47:31.356428
162791694,2016387185,21522,10.1644/843.1,Journal,journal-article,f,tetracerus quadricornis artiodactyla bovidae,Tetracerus quadricornis (Artiodactyla: Bovidae),NA,2009,2009-09-25,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,843,843,1,11,70,19,21,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/843.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/843.1/24461167/843.pdf,publishedVersion,10.1644/843.1,NA,2021-11-03 23:47:31.356428
162791694,2102214823,21455,10.1644/818.1,Journal,journal-article,f,anoura geoffroyi chiroptera phyllostomidae,Anoura Geoffroyi (Chiroptera: Phyllostomidae),NA,2008,2008-10-09,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,818,818,1,7,54,19,21,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/818.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/818.1/24460958/818.pdf,publishedVersion,10.1644/818.1,NA,2021-11-03 23:47:31.356428
162791694,2103498984,21856,10.1644/893.1,Journal,journal-article,f,akodon cursor rodentia cricetidae,Akodon cursor (Rodentia: Cricetidae),NA,2012,2012-06-15,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,44,893,33,43,51,11,12,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/893.1,https://academic.oup.com/mspecies/article-pdf/44/893/33/8269173/44-893-33.pdf,publishedVersion,10.1644/893.1,NA,2021-11-03 23:47:31.356428
162791694,2138297971,20465,10.1644/876.1,Journal,journal-article,f,martes zibellina carnivora mustelidae,Martes zibellina (Carnivora: Mustelidae),NA,2011,2011-05-26,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,43,876,75,86,15,25,29,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/876.1,https://academic.oup.com/mspecies/article-pdf/43/876/75/8269139/43-876-75.pdf,publishedVersion,10.1644/876.1,NA,2021-11-03 23:47:31.356428
162791694,2145686073,22167,10.1644/825.1,Journal,journal-article,f,otonyctomys hatti rodentia cricetidae,Otonyctomys hatti (Rodentia: Cricetidae),NA,2009,2009-02-26,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,825,825,1,5,11,3,3,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/825.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/825.1/24461018/825.pdf,publishedVersion,10.1644/825.1,NA,2021-11-03 23:47:31.356428
162791694,2147179131,21270,10.1644/895.1,Journal,journal-article,f,cyclopes didactylus pilosa cyclopedidae,Cyclopes didactylus (Pilosa: Cyclopedidae),NA,2012,2012-09-26,NA,American Society of Mammologists,NA,NA,44,895,51,58,47,14,15,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/895.1,https://academic.oup.com/mspecies/article-pdf/44/895/51/8269177/44-895-51.pdf,publishedVersion,10.1644/895.1,NA,2021-11-03 23:47:31.356428
162791694,2169907141,22580,10.1644/833.1,Journal,journal-article,f,peromyscus perfulvus rodentia cricetidae,Peromyscus perfulvus (Rodentia: Cricetidae),NA,2009,2009-06-01,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,833,833,1,8,27,3,3,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/833.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/833.1/24461080/833.pdf,publishedVersion,10.1644/833.1,NA,2021-11-03 23:47:31.356428
162791694,2754334296,21979,10.1093/MSPECIES/SEX013,Journal,journal-article,f,sigmodon mascotensis rodentia cricetidae,Sigmodon mascotensis (Rodentia: Cricetidae),NA,2017,2017-09-11,2017-09-11,Oxford University Press,NA,NA,49,954,109,118,41,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sex013,https://academic.oup.com/mspecies/article-pdf/49/954/109/19711523/sex013.pdf,publishedVersion,10.1093/mspecies/sex013,NA,2021-11-03 23:47:31.356428
162791694,2993825816,23170,10.1093/MSPECIES/SEZ016,Journal,journal-article,f,lasiurus varius chiroptera vespertilionidae,Lasiurus varius (Chiroptera: Vespertilionidae),NA,2019,2019-12-06,2019-12-06,Oxford Academic,NA,NA,51,983,119,127,37,2,2,Mammalian Species,NA,NA,NA,closed,https://doi.org/10.1093/mspecies/sez016,NA,NA,10.1093/mspecies/sez016,NA,2021-11-03 23:47:31.356428
